Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method,Manager,City,Revenue,Profit,Profit Margin,AI_Result,AI_Anomaly
10452,2022-11-07,Fries,3.49,573.07,Online,Gift Card,Picaso Pier,Chicago,2000.0143,1996.5243,0.998255012,1,Normal
10454,2022-11-08,Sides & Other,4.99,200.4,In-store,Gift Card,Joao Silva,Lisbon,999.996,995.006,0.99500998,1,Normal
10455,2022-11-09,Burgers,12.99,569.67,In-store,Credit Card,Walter Muller,Berlin,7400.0133,7387.0233,0.998244598,1,Normal
10456,2022-11-10,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Walter Muller,Berlin,2000.0495,1990.0995,0.995025123,1,Normal
10457,2022-11-11,Fries,3.49,573.07,In-store,Credit Card,Remy Monet,Paris,2000.0143,1996.5243,0.998255012,1,Normal
10459,2022-11-12,Sides & Other,4.99,200.4,In-store,Credit Card,Walter Muller,Berlin,999.996,995.006,0.99500998,1,Normal
10460,2022-11-13,Burgers,12.99,554.27,In-store,Credit Card,Remy Monet,Paris,7199.9673,7186.9773,0.998195825,1,Normal
10461,2022-11-14,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Remy Monet,Paris,2000.0495,1990.0995,0.995025123,1,Normal
10462,2022-11-15,Fries,3.49,573.07,In-store,Credit Card,Remy Monet,Paris,2000.0143,1996.5243,0.998255012,1,Normal
10463,2022-11-16,Beverages,2.95,677.97,In-store,Credit Card,Remy Monet,Paris,2000.0115,1997.0615,0.998525008,1,Normal
10464,2022-11-17,Sides & Other,4.99,200.4,In-store,Credit Card,Remy Monet,Paris,999.996,995.006,0.99500998,1,Normal
10465,2022-11-18,Burgers,12.99,554.27,In-store,Credit Card,Pablo Perez,Madrid,7199.9673,7186.9773,0.998195825,1,Normal
10466,2022-11-19,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,2000.0495,1990.0995,0.995025123,1,Normal
10467,2022-11-20,Fries,3.49,573.07,In-store,Credit Card,Pablo Perez,Madrid,2000.0143,1996.5243,0.998255012,1,Normal
10468,2022-11-21,Beverages,2.95,677.97,In-store,Credit Card,Pablo Perez,Madrid,2000.0115,1997.0615,0.998525008,1,Normal
10470,2022-11-22,Burgers,12.99,554.27,In-store,Credit Card,Pablo Perez,Madrid,7199.9673,7186.9773,0.998195825,1,Normal
10471,2022-11-23,Chicken Sandwiches,9.95,201.01,In-store,Credit Card,Pablo Perez,Madrid,2000.0495,1990.0995,0.995025123,1,Normal
10472,2022-11-24,Fries,3.49,630.37,In-store,Credit Card,Pablo Perez,Madrid,2199.9913,2196.5013,0.99841363,1,Normal
